Standard	Austria	Belgium1	Belgium2	Cyprus1	Cyprus2	Netherlands	France_STELI	France_OPIE	Remarks
scientificNameID	Fauna_Europaea_ID	Soortcode	speciesid			species_id		cdnom	
scientificName	Wissenschaftlicher Name	SpeciesName	name_lat	Species	Species	srt_scientific	taxon	taxon	for STELI and OPIE taxon is longer, for Netherlands scientific name comes from other file (merged)
nameAccordingTo	Autor								
namePublishedInYear	Jahr								
family			family						
verbatimTaxonRank							rang		
vernacularName		SoortNaamNl	name_eng			soort_nl			
identificationVerificationStatus			status					statut_validation	
occurrenceID			id				id_obs	odonata_id	
eventDate		datum	date		Date		date	date	
eventTime							heure debut		
year	Jahr_bis	jaar		yyyy	yyyy	jaar			
month	Monat_bis	maand		Month	mm	maand			
day	Tag_bis	dag		Day	dd	dag			
eventDateUncertainty						datum_schaal			not DwC
sex			sex						
behavior			activity						Belgium2: is not the only info present (also vitality and comments)
lifeStage			lifestage	Stage	Stage	stadium			
individualCount			amount			aantal	effectif		
lifeStage_count_a	Adulte			Number	Adult total				
lifeStage_count_e	Exuvie			Larvae	Larvae				
lifeStage_count_l	Larve			Exuviae	Exuviae				
degreeOfEstablishment								autochtonie	
samplingMethod			method						not DwC
recordedBy	Kartierer_Name			Recorders			observateur	observateur	
recordedByID						waarnemer_uri	id_observateur		
samplingEffort							duree		
entryDate			entry_date						not DwC
deliveryDate			delivery_date						not DwC
decimalLongitude	X_Koordinate_komma		lon	LONG	E dec deg			longitude	
decimalLatitude	Y_Koordinate_komma		lat	LAT	N dec deg			latitude	
decimalCoordinates							coordonnees observation		not DwC
coordinateUncertaintyInMeters			precision	Accuracy		loc_schaal			
verbatimCoordinates		utm1long	utm1						
verbatimLongitude			x		E deg min sec	x			
verbatimLatitude			y		N deg min sec	y			
occurrenceRemarks			notes	Comments					
associatedMedia						waarneming_uri			
country	Staat			Country					
county			province						
municipality			municipality				nom_commune	commune	
municipalityID							insee_commune		not DwC
postcode							code_postal		not DwC
submunicipality			submunicipality						not DwC
locality	Ortsbezeichnung		location	Location	Location name		nom_site		
verbatimElevation					Altitude m asl			altitude	
datasetName			source					jdd	
accessRights			permission_observer						
embargoDate			embargo_date						not DwC
eventID			transect						
eventType			type_transect	Record.type				sinp_uuid	
gridRef				Ref.no	Ref no			maille10km	not DwC
certain			certain						not DwC
id_species			id_species						not DwC
id_species_type			id_species_type						not DwC
id_checklist			id_checklist						not DwC
Recorder				Recorder					not DwC
Location_name				Location.name					not DwC
cbs_species_id						cbs_species_id			not DwC
Beleidsstatus						Beleidsstatus			not DwC
id_ses							id_ses		not DwC
cd_nom							cd_nom		not DwC
vent							vent		not DwC
effectif_max							effectif_max		not DwC
id_site							id_site		not DwC
habitat_aqua_1							habitat aqua 1		not DwC
eau aqua 1							eau aqua 1		not DwC
vegetation_aqua_1							vegetation aqua 1		not DwC
rives_aqua_1							rives aqua 1		not DwC
habitat_aqua_2							habitat aqua 2		not DwC
eau_aqua_2							eau aqua 2		not DwC
vegetation_aqua_2							vegetation aqua 2		not DwC
rives_aqua_2							rives aqua 2		not DwC
habitat_aqua_3							habitat aqua 3		not DwC
eau_aqua_3							eau aqua 3		not DwC
vegetation_aqua_3							vegetation aqua 3		not DwC
rives_aqua_3							rives aqua 3		not DwC
habitat_terre_1							habitat terre 1		not DwC
habitat_terre_2							habitat terre 2		not DwC
habitat_terre_3							habitat terre 3		not DwC
activites_humaines							activites humaines		not DwC
protocole							protocole		
geometry_site							geometry_site		
lon centroid site							lon centroid site		
lat centroid site							lat centroid site		
validateur_atlas								validateur_atlas	not DwC
date_validation_atlas								date_validation_atlas	not DwC
